Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967]
"Population, total",SP.POP.TOTL,Namibia,NAM,..,2458830,2402858,2346592,2291645,2240161,2193643,2152357,2115703,2083174,2053915,2027026,2002745,1980531,1957749,1931005,1897953,1857320,1809920,1758097,1705349,1654214,1605828,1559480,1513689,1466152,1415447,1360921,1303879,1247186,1194769,1149389,1112044,1081740,1056758,1034446,1012761,991365,970569,949734,928228,905647,881530,855965,829806,804309,780386,758305,737802,718622
"Population, total",SP.POP.TOTL,Nauru,NRU,..,10222,10176,10125,10079,10043,10025,10028,10047,10075,10101,10115,10113,10096,10073,10053,10042,10044,10054,10056,10033,9970,9863,9719,9544,9354,9157,8956,8752,8550,8356,8174,8007,7855,7719,7597,7488,7393,7311,7235,7156,7070,6972,6862,6743,6619,6493,6368,6241,6102
"Population, total",SP.POP.TOTL,Nepal,NPL,..,28513700,28174724,27834981,27500515,27179237,26875910,26592666,26325183,26063619,25794344,25506847,25198130,24868900,24516969,24140941,23740145,23315053,22866496,22395247,21902534,21390905,20859421,20312687,19765570,19237322,18741688,18285434,17865238,17472138,17091959,16714335,16337117,15963746,15596012,15237302,14890080,14554356,14228941,13913775,13608670,13313487,13028248,12753028,12487785,12232454,11986974,11750914,11524132,11307139
"Population, total",SP.POP.TOTL,Netherlands,NLD,..,16936520,16865008,16804432,16754962,16693074,16615394,16530388,16445593,16381696,16346101,16319868,16281779,16225302,16148929,16046180,15925513,15812088,15707209,15610650,15530498,15459006,15382838,15290368,15184166,15069798,14951510,14848907,14760094,14665037,14572278,14491632,14424211,14367070,14312690,14247208,14149800,14038270,13941700,13856185,13774037,13666335,13545056,13439322,13328593,13194497,13038526,12877984,12729721,12598201
"Population, total",SP.POP.TOTL,New Caledonia,NCL,..,273000,268000,263000,259000,254000,250000,245000,242000,238000,235000,231000,228000,225000,221490,217324,213230,209214,205279,201418,197564,193816,189482,184496,179799,175362,170899,166898,163650,160500,157350,154450,151650,148700,145700,142650,140050,138500,137500,136000,134000,132500,131000,128500,125500,120000,112000,104000,99500,96500
"Population, total",SP.POP.TOTL,New Zealand,NZL,..,4595700,4509700,4442100,4408100,4384000,4350700,4302600,4259800,4223800,4184600,4133900,4087500,4027200,3948500,3880500,3857700,3835100,3815000,3781300,3732000,3673400,3620000,3572200,3531700,3495100,3329800,3299200,3283400,3274400,3246300,3247100,3227100,3199300,3156100,3124900,3112900,3109000,3121200,3120200,3110500,3083100,3023700,2961300,2903900,2853000,2810700,2772800,2748100,2724100
"Population, total",SP.POP.TOTL,Nicaragua,NIC,..,6082032,6013913,5945646,5877034,5807787,5737722,5666595,5594524,5522119,5450217,5379327,5309703,5240876,5171736,5100750,5026792,4949661,4869627,4786641,4700777,4612229,4520727,4426577,4331273,4236805,4144564,4055262,3968453,3882940,3796914,3709091,3619252,3527935,3435527,3342666,3249910,3157356,3065118,2973805,2884156,2796748,2711847,2629503,2549779,2472656,2398095,2326136,2256779,2189880
"Population, total",SP.POP.TOTL,Niger,NER,..,19899120,19113728,18358863,17635782,16946485,16291990,15672194,15085130,14527631,13995530,13485436,12996012,12526725,12075991,11642308,11224523,10821434,10432657,10058960,9701730,9361912,9039088,8732500,8442330,8168834,7911884,7671233,7445788,7233482,7031675,6838170,6652110,6472971,6299343,6129762,5963159,5798584,5635954,5476206,5320869,5171029,5026744,4887484,4753054,4623121,4497355,4375837,4258415,4144238
"Population, total",SP.POP.TOTL,Nigeria,NGA,..,182201962,177475986,172816517,168240403,163770669,159424742,155207145,151115683,147152502,143318011,139611303,136033321,132581484,129246283,126014935,122876723,119826231,116860691,113975055,111164651,108424822,105753088,103145093,100592458,98085436,95617345,93179755,90773613,88412917,86118043,83901570,81775215,79729311,77729802,75729572,73698096,71619216,69512233,67425435,65426976,63565598,61857023,60285453,58829319,57453734,56131844,54859201,53640547,52468593
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,..,55070,54541,53869,53314,53234,53860,55276,57343,59791,62235,64372,66143,67562,68499,68817,68434,67271,65374,62939,60248,57518,54817,52120,49429,46719,43972,41243,38570,35904,33173,30341,27363,24308,21393,18906,17048,15906,15390,15293,15316,15232,14978,14605,14142,13658,13203,12766,12318,11882
"Population, total",SP.POP.TOTL,Norway,NOR,..,5195921,5137232,5079623,5018573,4953088,4889252,4828726,4768212,4709153,4660677,4623291,4591910,4564855,4538159,4513751,4490967,4461913,4431464,4405157,4381336,4359184,4336613,4311991,4286401,4261732,4241473,4226901,4209488,4186905,4167354,4152516,4140099,4128432,4114787,4099702,4085620,4072517,4058671,4043205,4026152,4007313,3985258,3960612,3933004,3903039,3875763,3847707,3816486,3784539
"Population, total",SP.POP.TOTL,Oman,OMN,..,4490541,4236057,3906912,3545192,3210003,2943747,2762073,2652281,2593750,2553376,2506891,2448194,2385075,2323203,2272547,2239403,2225481,2224922,2227596,2219768,2191864,2139539,2066264,1979914,1892345,1812159,1741965,1679089,1620573,1561493,1498416,1430926,1360921,1290007,1220548,1154375,1091855,1032799,977806,927439,882044,841947,806989,776379,748971,723850,700729,679593,660117
"Population, total",SP.POP.TOTL,Pakistan,PAK,..,188924874,185044286,181192646,177392252,173669648,170043918,166520983,163096985,159767672,156524189,153356383,150267989,147251530,144271586,141282077,138250487,135158132,132013680,128845692,125697651,122599749,119564925,116579605,113616165,110634399,107607639,104530689,101420791,98301647,95207133,92165065,89183159,86264621,83427522,80691701,78071984,75575981,73204087,70953777,68818471,66791496,64873705,63062204,61341255,59690467,58094239,56545924,55045897,53594445
"Population, total",SP.POP.TOTL,Palau,PLW,..,21291,21097,20919,20756,20606,20470,20344,20227,20118,20012,19907,19805,19700,19575,19404,19174,18878,18524,18123,17695,17255,16805,16345,15894,15471,15089,14762,14485,14237,13982,13698,13371,13015,12667,12383,12197,12127,12151,12225,12284,12280,12195,12045,11853,11656,11481,11335,11206,11081
"Population, total",SP.POP.TOTL,Panama,PAN,..,3929141,3867535,3805683,3743761,3681979,3620506,3559401,3498679,3438398,3378600,3319301,3260611,3202511,3144728,3086887,3028751,2970193,2911383,2852739,2794845,2738125,2682720,2628511,2575330,2522901,2471010,2419618,2368772,2318444,2268619,2219276,2170390,2121921,2073826,2026057,1978575,1931393,1884512,1837887,1791459,1745207,1699114,1653257,1607835,1563113,1519293,1476478,1434660,1393800
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,..,7619321,7463577,7308864,7154870,7001172,6847517,6693799,6540267,6387470,6236158,6086905,5940048,5795571,5653284,5512835,5374051,5236863,5101633,4969116,4840311,4715929,4596131,4480689,4369407,4261933,4157903,4057406,3960243,3865402,3771578,3677854,3583707,3489402,3395798,3304188,3215483,3130125,3047769,2967620,2888509,2809692,2730859,2652586,2576093,2503074,2434755,2371515,2313017,2258877
"Population, total",SP.POP.TOTL,Paraguay,PRY,..,6639123,6552518,6465669,6379162,6293763,6209877,6127847,6047131,5966160,5882797,5795493,5703742,5607948,5508615,5406625,5302703,5196935,5089306,4980346,4870695,4760853,4651222,4541902,4432738,4323402,4213740,4103909,3994328,3885433,3777764,3671826,3567750,3465796,3366726,3271454,3180628,3094479,3012833,2935375,2861582,2790964,2723523,2659084,2596741,2535355,2474102,2412565,2350900,2289579
"Population, total",SP.POP.TOTL,Peru,PER,..,31376670,30973148,30565461,30158768,29759891,29373644,29001563,28642048,28292768,27949958,27610406,27273188,26937737,26601463,26261363,25914875,25561297,25199744,24827409,24441076,24038761,23619358,23184222,22737056,22283130,21826658,21368856,20909897,20451712,19996250,19544950,19099575,18660443,18225727,17792551,17359118,16924758,16491087,16061327,15639898,15229951,14832839,14447649,14072476,13704333,13341071,12982444,12629333,12282081
"Population, total",SP.POP.TOTL,Philippines,PHL,..,100699395,99138690,97571676,96017322,94501233,93038902,91641881,90297115,88965508,87592899,86141373,84596249,82971734,81294378,79604541,77932247,76285225,74656228,73042605,71437381,69835713,68240134,66654954,65078901,63509940,61947340,60391168,58844392,57312794,55803915,54323651,52873979,51455037,50068493,48715592,47396966,46113992,44866279,43650333,42461189,41295129,40149959,39026082,37925400,36851055,35804731,34787588,33797041,32826602
"Population, total",SP.POP.TOTL,Poland,POL,..,37999494,38011735,38040196,38063164,38063255,38042794,38151603,38125759,38120560,38141267,38165445,38182222,38204570,38230364,38248076,38258629,38660271,38663481,38649660,38624370,38594998,38542652,38461408,38363667,38246193,38110782,37961529,37824487,37668045,37456119,37201885,36904134,36571808,36230481,35898587,35574150,35247217,34965600,34689050,34356300,34015199,33678899,33357200,33055650,32783500,32664300,32548300,32294655,31987155
"Population, total",SP.POP.TOTL,Portugal,PRT,..,10348648,10401062,10457295,10514844,10557560,10573100,10568247,10558177,10542964,10522288,10503330,10483861,10458821,10419631,10362722,10289898,10217828,10160196,10108977,10063945,10026176,9991525,9964675,9952494,9960235,9983218,10005000,10019610,10030031,10032734,10023613,9996232,9957865,9911771,9851362,9766312,9661265,9558250,9455675,9355810,9093470,8754365,8633100,8630430,8643756,8680431,8757705,8836650,8874520
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,..,3474182,3534888,3593079,3634487,3678736,3721526,3740410,3760866,3782995,3805214,3821362,3826878,3826095,3823701,3818774,3810605,3800081,3781101,3759430,3724655,3683103,3649237,3615497,3585176,3562110,3537000,3505650,3473898,3441850,3409554,3377000,3344190,3311138,3277453,3242552,3206000,3168088,3129421,3088690,3043854,2994000,2939299,2878786,2817256,2762190,2718000,2684150,2662064,2645674
"Population, total",SP.POP.TOTL,Qatar,QAT,..,2235355,2172065,2101288,2015624,1905437,1765513,1591151,1388962,1178955,988448,836924,732096,668165,634388,613720,593453,570643,548618,528213,511864,501019,495179,492120,489668,485114,476478,463062,445203,423327,398326,371071,341286,309276,277242,248053,223715,205244,192018,182370,173759,164333,153593,142111,130377,119246,109329,100697,93043,86161
"Population, total",SP.POP.TOTL,Romania,ROM,..,19832389,19908979,19983693,20058035,20147528,20246871,20367487,20537875,20882982,21193760,21319685,21451748,21574326,21730496,22131970,22442971,22472040,22507344,22553978,22619004,22684270,22730211,22763280,22794284,23001155,23201835,23161458,23057662,22949430,22859269,22755427,22655940,22588790,22515389,22415169,22242653,22090488,21951464,21756096,21551634,21293583,21029429,20835681,20657957,20461567,20250398,20009141,19799831,19534242
